sample-id	ph	average-soil-relative-humidity	elevation	average-soil-temperature
BAQ1370.1.2	7.98	16.17	1370.0	22.61
BAQ1370.3	0.0	16.17	1370.0	22.61
BAQ1370.1.3	8.13	16.17	1370.0	22.61
BAQ1552.1.1	7.87	15.75	1552.0	22.63
BAQ1552.2	0.0	15.75	1552.0	22.63
BAQ2420.1.1	9.33	82.54	2420.0	22.45
BAQ2420.1.2	9.36	82.54	2420.0	22.45
BAQ2420.2	9.36	82.54	2420.0	22.45
BAQ2420.3	9.36	82.54	2420.0	22.45
BAQ2420.1.3	8.9	82.54	2420.0	22.45
BAQ2462.1	8.35	69.08	2462.0	21.83
BAQ2462.2	8.35	69.08	2462.0	21.83
BAQ2462.3	8.35	69.08	2462.0	21.83
BAQ2687.1	8.35	73.21	2687.0	18.2
BAQ2687.2	8.35	73.21	2687.0	18.2
BAQ2687.3	8.35	73.21	2687.0	18.2
BAQ2838.1	8.36	44.74	2838.0	19.08
BAQ2838.2	8.36	44.74	2838.0	19.08
BAQ2838.3	8.36	44.74	2838.0	19.08
BAQ3473.1	7.93	82.05	3473.0	13.46
BAQ3473.2	7.93	82.05	3473.0	13.46
BAQ3473.3	7.93	82.05	3473.0	13.46
BAQ4166.1.1	5.64	100.0	4166.0	9.41
BAQ4166.1.2	7.22	100.0	4166.0	9.41
BAQ4166.2	7.22	100.0	4166.0	9.41
BAQ4166.3	7.22	100.0	4166.0	9.41
BAQ4166.1.3	7.41	100.0	4166.0	9.41
BAQ4697.1	7.44	0.0	4697.0	0.0
BAQ4697.2	7.44	0.0	4697.0	0.0
BAQ4697.3	7.44	0.0	4697.0	0.0
BAQ895.2	0.0	32.22	895.0	19.17
BAQ895.3	0.0	32.22	895.0	19.17
YUN1005.1.1	7.54	20.7	1005.0	22.59
YUN1005.2	0.0	20.7	1005.0	22.59
YUN1005.3	7.6	20.7	1005.0	22.59
YUN1005.1.3	7.6	20.7	1005.0	22.59
YUN1242.1	9.0	20.9	1242.0	23.61
YUN1242.2	9.0	20.9	1242.0	23.61
YUN1242.3	9.0	20.9	1242.0	23.61
YUN1609.1	8.0	17.18	1609.0	21.47
YUN1609.3	8.0	17.18	1609.0	21.47
YUN2029.1	7.89	28.79	2029.0	17.85
YUN2029.2	7.89	28.79	2029.0	17.85
YUN2029.3	7.89	28.79	2029.0	17.85
YUN3008.1.1	7.7	70.89	3008.0	11.57
YUN3008.1.2	7.71	70.89	3008.0	11.57
YUN3008.2	0.0	70.89	3008.0	11.57
YUN3008.3	0.0	70.89	3008.0	11.57
YUN3008.1.3	7.5	70.89	3008.0	11.57
YUN3153.1	7.6	59.69	3153.0	12.5
YUN3153.2	7.6	59.69	3153.0	12.5
YUN3153.3	7.6	59.69	3153.0	12.5
YUN3184.1	7.7	26.97	3184.0	14.12
YUN3184.2	0.0	26.97	3184.0	14.12
YUN3259.1.1	8.48	93.57	3259.0	15.28
YUN3259.1.2	8.1	93.57	3259.0	15.28
YUN3259.2	8.1	93.57	3259.0	15.28
YUN3259.3	8.1	93.57	3259.0	15.28
YUN3259.1.3	8.4	93.57	3259.0	15.28
YUN3346.1	7.1	87.32	3346.0	15.89
YUN3346.2	7.1	87.32	3346.0	15.89
YUN3346.3	7.1	87.32	3346.0	15.89
YUN3428.1	7.2	99.99	3428.0	13.61
YUN3428.2	7.2	99.99	3428.0	13.61
YUN3428.3	7.2	99.99	3428.0	13.61
YUN3533.1.1	7.1	100.0	3533.0	11.41
YUN3533.1.2	8.0	100.0	3533.0	11.41
YUN3533.2	8.0	100.0	3533.0	11.41
YUN3533.3	8.0	100.0	3533.0	11.41
YUN3533.1.3	7.8	100.0	3533.0	11.41
YUN3856.1.1	6.98	99.44	3856.0	9.51
YUN3856.1.2	7.43	99.44	3856.0	9.51
YUN3856.2	7.43	99.44	3856.0	9.51
YUN3856.3	7.43	99.44	3856.0	9.51
YUN3856.1.3	7.54	99.44	3856.0	9.51
